"Date","HomeTeam","AwayTeam","FTHG","HTAG","FTR"
2017-10-28,"Alaves","Valencia",1,1,"A"
2017-10-28,"Ath Bilbao","Barcelona",0,1,"A"
2017-10-28,"Ath Madrid","Villarreal",1,0,"D"
2017-10-28,"Sevilla","Leganes",2,0,"H"
2017-10-29,"Eibar","Levante",2,2,"D"
2017-10-29,"Getafe","Sociedad",2,1,"H"
2017-10-29,"Girona","Real Madrid",2,1,"H"
2017-10-29,"Malaga","Celta",2,0,"H"
2017-10-30,"Espanol","Betis",1,0,"H"
2017-10-30,"Las Palmas","La Coruna",1,1,"A"
2017-11-03,"Betis","Getafe",2,2,"D"
2017-11-04,"Alaves","Espanol",1,0,"H"
2017-11-04,"Barcelona","Sevilla",2,0,"H"
2017-11-04,"La Coruna","Ath Madrid",0,0,"A"
2017-11-04,"Valencia","Leganes",3,0,"H"
2017-11-05,"Celta","Ath Bilbao",3,1,"H"
2017-11-05,"Levante","Girona",1,0,"A"
2017-11-05,"Real Madrid","Las Palmas",3,0,"H"
2017-11-05,"Sociedad","Eibar",3,0,"H"
2017-11-05,"Villarreal","Malaga",2,0,"H"
2017-11-17,"Girona","Sociedad",1,1,"D"
2017-11-18,"Ath Madrid","Real Madrid",0,0,"D"
2017-11-18,"Getafe","Alaves",4,0,"H"
2017-11-18,"Leganes","Barcelona",0,1,"A"
2017-11-18,"Sevilla","Celta",2,1,"H"
2017-11-19,"Ath Bilbao","Villarreal",1,1,"D"
2017-11-19,"Espanol","Valencia",0,0,"A"
2017-11-19,"Las Palmas","Levante",0,0,"A"
2017-11-19,"Malaga","La Coruna",3,1,"H"
2017-11-20,"Eibar","Betis",5,0,"H"
2017-11-24,"Celta","Leganes",1,0,"H"
2017-11-25,"Alaves","Eibar",1,1,"A"
2017-11-25,"Betis","Girona",2,1,"D"
2017-11-25,"Levante","Ath Madrid",0,2,"A"
2017-11-25,"Real Madrid","Malaga",3,1,"H"
2017-11-26,"La Coruna","Ath Bilbao",2,1,"D"
2017-11-26,"Sociedad","Las Palmas",2,1,"D"
2017-11-26,"Valencia","Barcelona",1,0,"D"
2017-11-26,"Villarreal","Sevilla",2,0,"A"
2017-11-27,"Espanol","Getafe",1,0,"H"
2017-12-01,"Malaga","Levante",0,0,"D"
2017-12-02,"Ath Bilbao","Real Madrid",0,0,"D"
2017-12-02,"Ath Madrid","Sociedad",2,1,"H"
2017-12-02,"Barcelona","Celta",2,1,"D"
2017-12-02,"Sevilla","La Coruna",2,0,"H"
2017-12-03,"Eibar","Espanol",3,0,"H"
2017-12-03,"Getafe","Valencia",1,0,"H"
2017-12-03,"Las Palmas","Betis",1,0,"H"
2017-12-03,"Leganes","Villarreal",3,0,"H"
2017-12-04,"Girona","Alaves",2,0,"A"
2017-12-08,"Alaves","Las Palmas",2,0,"H"
2017-12-09,"Getafe","Eibar",0,0,"D"
2017-12-09,"La Coruna","Leganes",1,0,"H"
2017-12-09,"Real Madrid","Sevilla",5,0,"H"
2017-12-09,"Valencia","Celta",2,0,"H"
2017-12-10,"Betis","Ath Madrid",0,1,"A"
2017-12-10,"Levante","Ath Bilbao",1,1,"A"
2017-12-10,"Sociedad","Malaga",0,1,"A"
2017-12-10,"Villarreal","Barcelona",0,0,"A"
2017-12-11,"Espanol","Girona",0,1,"A"
