"","date","home.team","home.score","away.team","away.score"
"192",18-01-20,"Espanol",0,"Sevilla",3
"193",18-01-20,"Las Palmas",2,"Valencia",1
"194",18-01-20,"Villarreal",2,"Levante",1
"195",18-01-21,"Alaves",2,"Leganes",2
"196",18-01-21,"Betis",0,"Barcelona",5
"197",18-01-21,"Real Madrid",7,"La Coruna",1
"198",18-01-21,"Sociedad",1,"Celta",2
"199",18-01-22,"Eibar",1,"Malaga",1
"200",18-01-26,"Ath Bilbao",1,"Eibar",1
"201",18-01-27,"La Coruna",2,"Levante",2
"202",18-01-27,"Malaga",0,"Girona",0
"203",18-01-27,"Valencia",1,"Real Madrid",4
"204",18-01-27,"Villarreal",4,"Sociedad",2
"205",18-01-28,"Ath Madrid",3,"Las Palmas",0
"206",18-01-28,"Barcelona",2,"Alaves",1
"207",18-01-28,"Leganes",3,"Espanol",2
"208",18-01-28,"Sevilla",1,"Getafe",1
"209",18-01-29,"Celta",3,"Betis",2
"210",18-02-02,"Sociedad",5,"La Coruna",0
"211",18-02-03,"Alaves",2,"Celta",1
"212",18-02-03,"Betis",2,"Villarreal",1
"213",18-02-03,"Eibar",5,"Sevilla",1
"214",18-02-03,"Levante",2,"Real Madrid",2
"215",18-02-04,"Ath Madrid",1,"Valencia",0
"216",18-02-04,"Espanol",1,"Barcelona",1
"217",18-02-04,"Getafe",0,"Leganes",0
"218",18-02-04,"Girona",2,"Ath Bilbao",0
"219",18-02-05,"Las Palmas",1,"Malaga",0
"220",18-02-09,"Ath Bilbao",0,"Las Palmas",0
"221",18-02-10,"Leganes",0,"Eibar",1
"222",18-02-10,"Malaga",0,"Ath Madrid",1
"223",18-02-10,"Real Madrid",5,"Sociedad",2
"224",18-02-10,"Villarreal",1,"Alaves",2
"225",18-02-11,"Barcelona",0,"Getafe",0
"226",18-02-11,"Celta",2,"Espanol",2
"227",18-02-11,"Sevilla",1,"Girona",0
"228",18-02-11,"Valencia",3,"Levante",1
"229",18-02-12,"La Coruna",0,"Betis",1
"230",18-02-16,"Girona",3,"Leganes",0
"231",18-02-17,"Alaves",1,"La Coruna",0
"232",18-02-17,"Eibar",0,"Barcelona",2
"233",18-02-17,"Las Palmas",1,"Sevilla",2
"234",18-02-17,"Malaga",1,"Valencia",2
"235",18-02-18,"Ath Madrid",2,"Ath Bilbao",0
"236",18-02-18,"Betis",3,"Real Madrid",5
"237",18-02-18,"Espanol",1,"Villarreal",1
"238",18-02-18,"Sociedad",3,"Levante",0
"239",18-02-19,"Getafe",3,"Celta",0
"240",18-02-21,"Leganes",1,"Real Madrid",3
"241",18-02-23,"La Coruna",0,"Espanol",0
"242",18-02-24,"Barcelona",6,"Girona",1
"243",18-02-24,"Celta",2,"Eibar",0
"244",18-02-24,"Leganes",0,"Las Palmas",0
"245",18-02-24,"Real Madrid",4,"Alaves",0
"246",18-02-25,"Ath Bilbao",2,"Malaga",1
"247",18-02-25,"Sevilla",2,"Ath Madrid",5
"248",18-02-25,"Valencia",2,"Sociedad",1
"249",18-02-25,"Villarreal",1,"Getafe",0
"250",18-02-26,"Levante",0,"Betis",2
"251",18-02-27,"Espanol",1,"Real Madrid",0
"252",18-02-27,"Girona",1,"Celta",0
"253",18-02-28,"Ath Bilbao",1,"Valencia",1
"254",18-02-28,"Ath Madrid",4,"Leganes",0
"255",18-02-28,"Eibar",1,"Villarreal",0
"256",18-02-28,"Getafe",3,"La Coruna",0
"257",18-02-28,"Malaga",0,"Sevilla",1
"258",18-03-01,"Alaves",1,"Levante",0
"259",18-03-01,"Betis",0,"Sociedad",0
"260",18-03-01,"Las Palmas",1,"Barcelona",1
"261",18-03-03,"La Coruna",1,"Eibar",1
"262",18-03-03,"Leganes",2,"Malaga",0
"263",18-03-03,"Real Madrid",3,"Getafe",1
"264",18-03-03,"Sevilla",2,"Ath Bilbao",0
"265",18-03-03,"Villarreal",0,"Girona",2
"266",18-03-04,"Barcelona",1,"Ath Madrid",0
"267",18-03-04,"Levante",1,"Espanol",1
"268",18-03-04,"Sociedad",2,"Alaves",1
"269",18-03-04,"Valencia",2,"Betis",0
"270",18-03-05,"Celta",2,"Las Palmas",1
"271",18-03-09,"Girona",2,"La Coruna",0
"272",18-03-10,"Eibar",1,"Real Madrid",2
"273",18-03-10,"Getafe",0,"Levante",1
"274",18-03-10,"Malaga",0,"Barcelona",2
"275",18-03-10,"Sevilla",0,"Valencia",2
"276",18-03-11,"Ath Bilbao",2,"Leganes",0
"277",18-03-11,"Ath Madrid",3,"Celta",0
"278",18-03-11,"Espanol",2,"Sociedad",1
"279",18-03-11,"Las Palmas",0,"Villarreal",2
"280",18-03-12,"Alaves",1,"Betis",3
"281",18-03-16,"Levante",2,"Eibar",1
"282",18-03-17,"Betis",3,"Espanol",0
"283",18-03-17,"La Coruna",1,"Las Palmas",1
"284",18-03-17,"Sociedad",1,"Getafe",2
"285",18-03-17,"Valencia",3,"Alaves",1
"286",18-03-18,"Barcelona",2,"Ath Bilbao",0
"287",18-03-18,"Celta",0,"Malaga",0
"288",18-03-18,"Leganes",2,"Sevilla",1
"289",18-03-18,"Real Madrid",6,"Girona",3
"290",18-03-18,"Villarreal",2,"Ath Madrid",1
"291",18-03-31,"Ath Bilbao",1,"Celta",1
"292",18-03-31,"Girona",1,"Levante",1
"293",18-03-31,"Las Palmas",0,"Real Madrid",3
"294",18-03-31,"Sevilla",2,"Barcelona",2
"295",18-04-01,"Ath Madrid",1,"La Coruna",0
"296",18-04-01,"Eibar",0,"Sociedad",0
"297",18-04-01,"Espanol",0,"Alaves",0
"298",18-04-01,"Leganes",0,"Valencia",1
"299",18-04-01,"Malaga",1,"Villarreal",0
"300",18-04-02,"Getafe",0,"Betis",1
"301",18-04-06,"La Coruna",3,"Malaga",2
"302",18-04-07,"Alaves",2,"Getafe",0
"303",18-04-07,"Barcelona",3,"Leganes",1
"304",18-04-07,"Betis",2,"Eibar",0
"305",18-04-07,"Celta",4,"Sevilla",0
"306",18-04-08,"Levante",2,"Las Palmas",1
"307",18-04-08,"Real Madrid",1,"Ath Madrid",1
"308",18-04-08,"Sociedad",5,"Girona",0
"309",18-04-08,"Valencia",1,"Espanol",0
"310",18-04-09,"Villarreal",1,"Ath Bilbao",3
"311",18-04-13,"Girona",0,"Betis",1
"312",18-04-14,"Ath Bilbao",2,"La Coruna",3
"313",18-04-14,"Barcelona",2,"Valencia",1
"314",18-04-14,"Las Palmas",0,"Sociedad",1
"315",18-04-14,"Leganes",1,"Celta",0
"316",18-04-14,"Sevilla",2,"Villarreal",2
"317",18-04-15,"Ath Madrid",3,"Levante",0
"318",18-04-15,"Eibar",0,"Alaves",1
"319",18-04-15,"Getafe",1,"Espanol",0
"320",18-04-15,"Malaga",1,"Real Madrid",2
"321",18-04-17,"Celta",2,"Barcelona",2
"322",18-04-17,"La Coruna",0,"Sevilla",0
"323",18-04-17,"Villarreal",2,"Leganes",1
"324",18-04-18,"Espanol",0,"Eibar",1
"325",18-04-18,"Real Madrid",1,"Ath Bilbao",1
"326",18-04-18,"Valencia",1,"Getafe",2
"327",18-04-19,"Alaves",1,"Girona",2
"328",18-04-19,"Betis",1,"Las Palmas",0
"329",18-04-19,"Levante",1,"Malaga",0
"330",18-04-19,"Sociedad",3,"Ath Madrid",0
"331",18-04-20,"Leganes",0,"La Coruna",0
"332",18-04-21,"Celta",1,"Valencia",1
"333",18-04-21,"Eibar",0,"Getafe",1
"334",18-04-22,"Ath Madrid",0,"Betis",0
"335",18-04-22,"Girona",0,"Espanol",2
"336",18-04-22,"Las Palmas",0,"Alaves",4
"337",18-04-22,"Malaga",2,"Sociedad",0
"338",18-04-23,"Ath Bilbao",1,"Levante",3
"339",18-04-27,"Levante",2,"Sevilla",1
"340",18-04-28,"Espanol",1,"Las Palmas",1
"341",18-04-28,"Real Madrid",2,"Leganes",1
"342",18-04-28,"Sociedad",3,"Ath Bilbao",1
"343",18-04-28,"Villarreal",4,"Celta",1
"344",18-04-29,"Alaves",0,"Ath Madrid",1
"345",18-04-29,"Getafe",1,"Girona",1
"346",18-04-29,"La Coruna",2,"Barcelona",4
"347",18-04-29,"Valencia",0,"Eibar",0
"348",18-04-30,"Betis",2,"Malaga",1
"349",18-05-04,"Sevilla",1,"Sociedad",0
"350",18-05-05,"Ath Bilbao",2,"Betis",0
"351",18-05-05,"Celta",1,"La Coruna",1
"352",18-05-05,"Girona",1,"Eibar",4
"353",18-05-05,"Villarreal",1,"Valencia",0
"354",18-05-06,"Ath Madrid",0,"Espanol",2
"355",18-05-06,"Barcelona",2,"Real Madrid",2
"356",18-05-06,"Las Palmas",0,"Getafe",1
"357",18-05-06,"Malaga",0,"Alaves",3
"358",18-05-07,"Leganes",0,"Levante",3
"359",18-05-09,"Barcelona",5,"Villarreal",1
"360",18-05-09,"Sevilla",3,"Real Madrid",2
"361",18-05-12,"Alaves",3,"Ath Bilbao",1
"362",18-05-12,"Betis",2,"Sevilla",2
"363",18-05-12,"Eibar",1,"Las Palmas",0
"364",18-05-12,"Getafe",0,"Ath Madrid",1
"365",18-05-12,"Girona",0,"Valencia",1
"366",18-05-12,"La Coruna",2,"Villarreal",4
"367",18-05-12,"Real Madrid",6,"Celta",0
"368",18-05-12,"Sociedad",3,"Leganes",2
"369",18-05-13,"Espanol",4,"Malaga",1
"370",18-05-13,"Levante",5,"Barcelona",4
"371",18-05-19,"Celta",4,"Levante",2
"372",18-05-19,"Las Palmas",1,"Girona",2
"373",18-05-19,"Leganes",3,"Betis",2
"374",18-05-19,"Malaga",0,"Getafe",1
"375",18-05-19,"Sevilla",1,"Alaves",0
"376",18-05-19,"Villarreal",2,"Real Madrid",2
"377",18-05-20,"Ath Bilbao",0,"Espanol",1
"378",18-05-20,"Ath Madrid",2,"Eibar",2
"379",18-05-20,"Barcelona",1,"Sociedad",0
"380",18-05-20,"Valencia",2,"La Coruna",1
"381",2018-08-17,"Betis",0,"Levante",3
"382",2018-08-17,"Girona",0,"Valladolid",0
"383",2018-08-18,"Barcelona",3,"Alaves",0
"384",2018-08-18,"Celta",1,"Espanol",1
"385",2018-08-18,"Villarreal",1,"Sociedad",2
"386",2018-08-19,"Eibar",1,"Huesca",2
"387",2018-08-19,"Real Madrid",2,"Getafe",0
"388",2018-08-19,"Vallecano",1,"Sevilla",4
"389",2018-08-20,"Ath Bilbao",2,"Leganes",1
"390",2018-08-20,"Valencia",1,"Ath Madrid",1
"391",2018-08-24,"Getafe",2,"Eibar",0
"392",2018-08-24,"Leganes",2,"Sociedad",2
"393",2018-08-25,"Alaves",0,"Betis",0
"394",2018-08-25,"Ath Madrid",1,"Vallecano",0
"395",2018-08-25,"Valladolid",0,"Barcelona",1
"396",2018-08-26,"Espanol",2,"Valencia",0
"397",2018-08-26,"Girona",1,"Real Madrid",4
"398",2018-08-26,"Sevilla",0,"Villarreal",0
"399",2018-08-27,"Ath Bilbao",2,"Huesca",2
"400",2018-08-27,"Levante",1,"Celta",2
"401",2018-08-31,"Eibar",2,"Sociedad",1
"402",2018-08-31,"Getafe",0,"Valladolid",0
"403",2018-08-31,"Villarreal",0,"Girona",1
"404",2018-09-01,"Celta",2,"Ath Madrid",0
"405",2018-09-01,"Real Madrid",4,"Leganes",1
"406",2018-09-02,"Alaves",2,"Espanol",1
"407",2018-09-02,"Barcelona",8,"Huesca",2
"408",2018-09-02,"Betis",1,"Sevilla",0
"409",2018-09-02,"Levante",2,"Valencia",2
"410",2018-09-14,"Huesca",0,"Vallecano",1
"411",2018-09-15,"Ath Bilbao",1,"Real Madrid",1
"412",2018-09-15,"Ath Madrid",1,"Eibar",1
"413",2018-09-15,"Sociedad",1,"Barcelona",2
"414",2018-09-15,"Valencia",0,"Betis",0
"415",2018-09-16,"Espanol",1,"Levante",0
